1	Izza		5363576677		0657857676787
3	fakhir		37406-0815843-9		0313-4484655
4	Arslan		37406-0815843-9		0313-4484655
5	ahmad		37406-0815843-9		0313-4484655
6	aslam		37406-0815843-9		0313-4484655
7	obaid		37406-0815843-9		0313-4484655
8	uzair		37406-0815843-9		0313-4484655
9	bilal		37406-0815843-9		0313-4484655
10	omair		37406-0815843-9		0313-4484655
11	moiz		37406-0815843-9		0313-4484655
12	jizzi		37406-0815843-9		0313-4484655
13	judo		37406-0815843-9		0313-4484655
14	who		37406-0815843-9		0313-4484655
15	what		37406-0815843-9		0313-4484655
16	why		37406-0815843-9		0313-4484655
17	how		37406-0815843-9		0313-4484655
18	not		37406-0815843-9		0313-4484655
19	when		37406-0815843-9		0313-4484655
20	aslam		37406-0815843-9		0313-4484655					
